Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
0,1.0,1.0,1.0,3M TBill SA,3M TBill SA
1,0.47005625459626726,0.21773301316610866,0.7223794960264258,3M TBill SA,3M TBill SA
2,0.15114420395982928,-0.12030423358050366,0.4225926415001622,3M TBill SA,3M TBill SA
3,0.18947358355095978,-0.08543776863661878,0.46438493573853834,3M TBill SA,3M TBill SA
4,0.4358952441928477,0.15283010855855356,0.7189603798271418,3M TBill SA,3M TBill SA
5,0.22646415738813172,-0.08184230753817304,0.5347706223144365,3M TBill SA,3M TBill SA
6,0.03964271699032808,-0.2774469216917794,0.35673235567243555,3M TBill SA,3M TBill SA
7,-0.04123833277040631,-0.3551630452353195,0.27268637969450693,3M TBill SA,3M TBill SA
8,-0.0700461064555171,-0.3716406060418972,0.23154839313086303,3M TBill SA,3M TBill SA
9,-0.1281680855128955,-0.41251430569534125,0.15617813466955027,3M TBill SA,3M TBill SA
10,-0.20312937795716848,-0.482957357571949,0.07669860165761203,3M TBill SA,3M TBill SA
11,-0.10642162329006181,-0.36709663050655045,0.1542533839264268,3M TBill SA,3M TBill SA
12,-0.02166813488391752,-0.24696373761451013,0.20362746784667507,3M TBill SA,3M TBill SA
13,-0.06200497738821853,-0.25974140088957187,0.13573144611313478,3M TBill SA,3M TBill SA
14,-0.012701757965098232,-0.1992079717508528,0.17380445582065635,3M TBill SA,3M TBill SA
15,0.02470597183989447,-0.15242819044673808,0.20184013412652704,3M TBill SA,3M TBill SA
16,0.02834635986511965,-0.13668352431177663,0.19337624404201595,3M TBill SA,3M TBill SA
17,0.019721859086262995,-0.13562531842328723,0.17506903659581324,3M TBill SA,3M TBill SA
18,-0.017199568100030285,-0.16405605726738012,0.12965692106731955,3M TBill SA,3M TBill SA
19,0.010854259551322253,-0.13029278813420997,0.15200130723685445,3M TBill SA,3M TBill SA
20,0.031078728473797928,-0.10758664292549076,0.1697440998730866,3M TBill SA,3M TBill SA
0,0.0,0.0,0.0,3M TBill SA,US CPI SA
1,0.33892575008374864,-0.7256921972120698,1.403543697379567,3M TBill SA,US CPI SA
