Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
0,1.0,1.0,1.0,3M TBill SA,3M TBill SA
1,0.49184422609254397,0.197672791715386,0.786015660469702,3M TBill SA,3M TBill SA
2,0.19797760719296814,-0.13451975964116464,0.5304749740271009,3M TBill SA,3M TBill SA
3,0.130031864425307,-0.20279979352708832,0.46286352237770234,3M TBill SA,3M TBill SA
4,0.47527971825054227,0.14830547623323576,0.8022539602678488,3M TBill SA,3M TBill SA
5,0.26738094266167156,-0.08094854967892118,0.6157104350022643,3M TBill SA,3M TBill SA
6,0.08965185193484884,-0.2771500987448703,0.456453802614568,3M TBill SA,3M TBill SA
7,0.016253629119732438,-0.36791976803677606,0.40042702627624094,3M TBill SA,3M TBill SA
8,-0.06861864919798673,-0.45636620766349756,0.31912890926752413,3M TBill SA,3M TBill SA
9,-0.14815391151120386,-0.5241689037022951,0.2278610806798874,3M TBill SA,3M TBill SA
10,-0.30733998428025183,-0.6737460394261998,0.059066070865696096,3M TBill SA,3M TBill SA
11,-0.14167367770684586,-0.5041238608108365,0.22077650539714477,3M TBill SA,3M TBill SA
12,-0.12298481143669582,-0.49094115554055956,0.24497153266716792,3M TBill SA,3M TBill SA
13,-0.10301314339721157,-0.45422559376097477,0.24819930696655162,3M TBill SA,3M TBill SA
14,-0.09038491280053174,-0.4133513717605534,0.23258154615948995,3M TBill SA,3M TBill SA
15,0.019966874743737918,-0.28275136349059193,0.3226851129780678,3M TBill SA,3M TBill SA
16,0.029412722260990638,-0.26345178532725627,0.3222772298492375,3M TBill SA,3M TBill SA
17,-0.03492805542967732,-0.31670414327909,0.2468480324197354,3M TBill SA,3M TBill SA
18,-0.04654730566624368,-0.31187529139034076,0.21878068005785342,3M TBill SA,3M TBill SA
19,-0.009792023811228331,-0.2729715993661476,0.25338755174369093,3M TBill SA,3M TBill SA
20,0.06720180226946643,-0.19744498507715802,0.33184858961609087,3M TBill SA,3M TBill SA
0,0.0,0.0,0.0,3M TBill SA,US CPI SA
1,0.3610581393380146,-0.7519973772867652,1.4741136559627943,3M TBill SA,US CPI SA
2,-0.9091450860828814,-2.1587361927607316,0.34044602059496887,3M TBill SA,US CPI SA
3,0.2920314215108745,-0.9891246237661941,1.5731874667879433,3M TBill SA,US CPI SA
4,1.3054557528152668,0.0699990259233314,2.5409124797072025,3M TBill SA,US CPI SA
5,0.07383725636004834,-1.282757109771659,1.4304316224917555,3M TBill SA,US CPI SA
6,0.7201242275096376,-0.7493195803163646,2.1895680353356397,3M TBill SA,US CPI SA
7,-0.20847050879541906,-1.6853771498138765,1.2684361322230384,3M TBill SA,US CPI SA
8,-1.7139107094397743,-3.112227380156978,-0.3155940387225704,3M TBill SA,US CPI SA
9,-0.7577380670189154,-2.137704536756709,0.6222284027188784,3M TBill SA,US CPI SA
10,-0.14962039699608778,-1.5195240230999099,1.2202832291077341,3M TBill SA,US CPI SA
11,-0.42136573634464247,-1.7646111871992423,0.9218797145099574,3M TBill SA,US CPI SA
12,0.30725854519547613,-0.9855912593188314,1.6001083497097837,3M TBill SA,US CPI SA
13,-0.11297984743447143,-1.4575898558907123,1.2316301610217695,3M TBill SA,US CPI SA
14,-0.44672051443803595,-1.838528271033045,0.9450872421569732,3M TBill SA,US CPI SA
15,0.7510204201838951,-0.6126699356897088,2.1147107760574992,3M TBill SA,US CPI SA
16,0.34709614147675705,-0.9945374180922044,1.6887297010457185,3M TBill SA,US CPI SA
17,0.3636724557152383,-0.9785982771037413,1.705943188534218,3M TBill SA,US CPI SA
18,0.5622169141776528,-0.7363133133423961,1.860747141697702,3M TBill SA,US CPI SA
19,-0.10689753409808042,-1.3647155299959683,1.1509204617998074,3M TBill SA,US CPI SA
20,-0.014394595087104084,-1.2399688953945187,1.2111797052203106,3M TBill SA,US CPI SA
0,0.0,0.0,0.0,3M TBill SA,US IP SA
1,0.8303591463722119,-0.2377035352362492,1.8984218279806728,3M TBill SA,US IP SA
2,0.2650778124928388,-1.0947477623669406,1.6249033873526182,3M TBill SA,US IP SA
3,0.545873480311174,-0.8206742694158213,1.9124212300381693,3M TBill SA,US IP SA
4,0.27095673937822395,-1.0562769326339645,1.5981904113904124,3M TBill SA,US IP SA
5,-0.4100624101744548,-1.805798819753763,0.9856739994048536,3M TBill SA,US IP SA
6,0.013657328184300266,-1.5443888607723264,1.5717035171409268,3M TBill SA,US IP SA
7,-1.296085523359089,-2.866096838891183,0.2739257921730047,3M TBill SA,US IP SA
8,-0.9682296297999851,-2.518775337352676,0.5823160777527057,3M TBill SA,US IP SA
9,-1.1299153950874397,-2.635768303923564,0.37593751374868467,3M TBill SA,US IP SA
10,-1.292291317107236,-2.7818678049734347,0.19728517075896224,3M TBill SA,US IP SA
11,-0.05550705903481146,-1.5219480845565152,1.4109339664868923,3M TBill SA,US IP SA
12,0.1518158280277786,-1.2743910065112205,1.5780226625667777,3M TBill SA,US IP SA
13,0.6734842870533877,-0.710265500466357,2.0572340745731323,3M TBill SA,US IP SA
14,1.4926343230716852,0.09874089308136402,2.8865277530620066,3M TBill SA,US IP SA
15,0.7118671403579557,-0.6852581185741502,2.1089923992900617,3M TBill SA,US IP SA
16,0.45516871870242137,-0.92158973412511,1.8319271715299528,3M TBill SA,US IP SA
17,0.3198043436367237,-1.0580687165763314,1.6976774038497788,3M TBill SA,US IP SA
18,-0.6884086020181277,-2.050866067882788,0.6740488638465325,3M TBill SA,US IP SA
19,-0.3011117663965124,-1.6279767896625656,1.0257532568695409,3M TBill SA,US IP SA
