Date,3M TBill SA,US CPI SA,US DXY SA,US IP SA,US UE SA,US Debt SA
1995-09-30,-1.046666667,-0.7,6.75,0.20000000000000007,0.2,-3.0184632477273468
1995-12-31,-0.76,0.0,-1.6099999999999999,-1.4,0.4,-40.75331450116529
1996-03-31,0.29000000000000004,0.5,9.629999999999999,0.5,0.0,30.624060128818968
1996-06-30,0.33999999999999997,0.0,6.5,1.4,-0.4,1.7988249149442197
1996-09-30,-0.030000000000000006,0.30000000000000004,-2.97,0.0,-0.1,-3.2736957182813953
1996-12-31,0.473333333,0.5999999999999999,2.96,0.8,0.2,79.95815133523516
1997-03-31,0.13,-0.9000000000000001,5.29,1.0,-0.1,-142.7904403393826
1997-06-30,-0.176666667,-0.7999999999999999,-1.6600000000000001,-0.9999999999999999,0.0,97.59473152526468
1997-09-30,0.2,0.0,3.91,1.3000000000000003,0.0,-52.36240107997174
1997-12-31,-0.21,-0.7999999999999999,-0.6299999999999999,0.5999999999999999,-0.4,0.6655969616866138
1998-03-31,-0.21000000000000002,-0.49999999999999994,-3.34,-1.0,0.2,56.15332804248487
1998-06-30,0.02666666699999999,0.4,1.2200000000000002,-0.6000000000000001,0.0,-61.56700826878857
1998-09-30,-0.46,-0.30000000000000004,-6.6,-0.9000000000000001,0.2,6.790642328577977
1998-12-31,-0.12,0.30000000000000004,-9.690000000000001,-0.7999999999999999,0.0,99.61340001089948
1999-03-31,0.039999999999999994,0.2,-1.12,0.5000000000000001,-0.2,-136.5948466968942
1999-06-30,0.47,0.3999999999999999,2.15,0.39999999999999997,0.30000000000000004,109.48591495712616
1999-09-30,1.006666667,1.1,-0.1200000000000001,-0.8,-0.2,-69.79523056123936
1999-12-31,0.27,0.09999999999999998,9.06,1.5,0.0,-39.68821582733118
2000-03-31,0.463333333,1.8000000000000003,0.19999999999999973,-0.5000000000000001,0.2,71.798486763144
2000-06-30,-0.353333334,0.0,-1.17,0.20000000000000007,-0.1,-22.263966631020438
2000-09-30,-0.713333334,-0.40000000000000013,6.21,-0.5,0.0,86.34048339942711
2000-12-31,-1.306666666,0.0,-2.33,-3.0,0.2,-130.21930917643311
2001-03-31,-1.7,-0.7000000000000002,-4.62,-1.9,0.4,63.602078310225195
2001-06-30,-0.813333333,0.40000000000000013,3.3,-2.2,0.2,-30.179397435044486
2001-09-30,-1.243333333,-0.9999999999999999,-7.46,-1.1,0.6,-21.045179720486075
2001-12-31,1.0999999999999999,-1.7,5.09,-0.20000000000000007,0.7,84.60829655989463
2002-03-31,1.17,-0.3999999999999999,2.05,2.6,-0.4,-43.570486117285014
2002-06-30,0.686666667,-0.5,-19.18,2.9000000000000004,-0.1,74.12988057971307
2002-09-30,1.006666667,0.7999999999999999,-0.9799999999999995,1.1,-0.6,-112.52300366729378
2002-12-31,0.010000000000000009,1.7,-9.43,0.6000000000000001,-0.39999999999999997,-35.015665876046704
2003-03-31,-0.10666666699999999,1.0,-8.57,-0.7000000000000001,-0.1,97.60812377402067
2003-06-30,-0.023333333999999997,-1.9000000000000001,7.69,-2.1,0.30000000000000004,-72.2555834067235
2003-09-30,0.30666666600000003,0.8,5.96,0.9,-0.1,30.039010624819795
2003-12-31,0.17333333299999998,-0.6,-5.83,1.0,-0.7,141.55712415990186
2004-03-31,0.29,-0.5,3.39,-0.19999999999999996,0.2,-175.3428787878359
2004-06-30,0.5533333340000001,2.6,8.01,0.8,-0.6000000000000001,111.6252084434297
2004-09-30,0.513333334,-1.1,-2.4499999999999997,0.0,0.0,-175.26788548233242
2004-12-31,0.583333333,1.5,3.3900000000000006,1.0,0.4,252.79061120406033
2005-03-31,0.253333334,-0.20000000000000018,5.5,0.5,-0.30000000000000004,-250.50232174180107
2005-06-30,0.04999999999999993,-1.2000000000000002,3.7600000000000002,0.39999999999999997,0.0,-90.72405609499995
2005-09-30,0.013333333000000058,4.199999999999999,5.09,-2.8,0.2,477.69305229226137
2005-12-31,-0.10999999999999999,-2.5999999999999996,11.979999999999999,0.9000000000000001,-0.1,-432.5515173574187
2006-03-31,0.010000000000000009,0.20000000000000018,-3.52,-0.5,0.0,464.4102468150575
2006-06-30,-0.2899999999999999,1.5,-11.64,0.0,0.1,-439.3574365380994
2006-09-30,-0.6300000000000001,-4.1,-1.3499999999999999,2.1,-0.1,94.87686656878276
2006-12-31,-0.436666666,1.0,-5.16,-1.8000000000000003,0.0,-99.88913279734672
2007-03-31,-0.45,0.6000000000000001,0.3400000000000001,0.4,0.2,128.27967733697125
2007-06-30,-0.11,-0.20000000000000018,2.8100000000000005,0.0,0.30000000000000004,252.17214756337313
