Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
19,-0.01785694273788785,-40.668310752767056,40.632596867291284,3M TBill SA,USDebt SA
20,-9.1669819347775,-47.11549256961342,28.78152870005842,3M TBill SA,USDebt SA
0,0.0,0.0,0.0,3M TBill SA,USDXY SA
1,0.31279296602227136,-3.244758061026529,3.870343993071072,3M TBill SA,USDXY SA
2,-1.1396772294148336,-4.9406980389429584,2.661343580113291,3M TBill SA,USDXY SA
3,-0.013100821362253656,-3.904584413691688,3.87838277096718,3M TBill SA,USDXY SA
4,-1.1810451843711398,-5.082871886607794,2.720781517865514,3M TBill SA,USDXY SA
5,0.5697261024214764,-3.5499396097102527,4.689391814553206,3M TBill SA,USDXY SA
6,1.0719475137043806,-3.0570183768319077,5.200913404240669,3M TBill SA,USDXY SA
7,1.8056872252948377,-2.1829561727830855,5.794330623372761,3M TBill SA,USDXY SA
8,1.512308831103095,-2.353143504649778,5.377761166855968,3M TBill SA,USDXY SA
9,-0.3750385646712975,-3.718715984487342,2.9686388551447473,3M TBill SA,USDXY SA
10,-1.7378774284680767,-4.894466661910053,1.4187118049739005,3M TBill SA,USDXY SA
11,-0.6031269785726179,-3.6423476786115074,2.4360937214662712,3M TBill SA,USDXY SA
12,0.011908335505295908,-2.901837047187156,2.925653718197748,3M TBill SA,USDXY SA
13,0.8199777415362072,-1.983792973716544,3.6237484567889586,3M TBill SA,USDXY SA
14,1.3509419314975244,-1.2729814942970583,3.9748653572921073,3M TBill SA,USDXY SA
15,-0.7616738098094862,-3.3448636565884273,1.821516036969455,3M TBill SA,USDXY SA
16,-0.7683094963763831,-3.320272816208516,1.78365382345575,3M TBill SA,USDXY SA
17,-0.664664761455891,-3.2357132497072665,1.9063837267954846,3M TBill SA,USDXY SA
18,-0.9428048001904441,-3.422889623778203,1.5372800233973145,3M TBill SA,USDXY SA
19,0.4328567369864914,-1.9103788838913336,2.7760923578643166,3M TBill SA,USDXY SA
20,0.600739396723631,-1.6678754390746107,2.8693542325218724,3M TBill SA,USDXY SA
0,0.0,0.0,0.0,US CPI SA,3M TBill SA
1,0.009465284959158002,-0.05134839995630292,0.07027896987461893,US CPI SA,3M TBill SA
2,0.01009140008336914,-0.05686449492109218,0.07704729508783047,US CPI SA,3M TBill SA
3,0.009198656036820707,-0.05787802026379294,0.07627533233743436,US CPI SA,3M TBill SA
4,-0.007577724557910505,-0.07548602414420903,0.060330575028388025,US CPI SA,3M TBill SA
5,0.045170453638356034,-0.03263286876881599,0.12297377604552806,US CPI SA,3M TBill SA
6,0.007265710075824099,-0.07263514265444371,0.08716656280609192,US CPI SA,3M TBill SA
7,0.002020250421770017,-0.07646823089784895,0.08050873174138899,US CPI SA,3M TBill SA
8,0.012141938606197894,-0.0541628970837019,0.07844677429609768,US CPI SA,3M TBill SA
9,0.011893444176115379,-0.04962667589069304,0.0734135642429238,US CPI SA,3M TBill SA
10,-0.005409639588292532,-0.06039925995583962,0.04957998077925455,US CPI SA,3M TBill SA
11,-0.006456064286836929,-0.05673237460839342,0.04382024603471957,US CPI SA,3M TBill SA
12,-0.02616911011562665,-0.07405886898975261,0.02172064875849932,US CPI SA,3M TBill SA
13,-0.014774427077307913,-0.06060747392348645,0.03105861976887062,US CPI SA,3M TBill SA
14,-0.0207538891750412,-0.06612051962697671,0.0246127412768943,US CPI SA,3M TBill SA
15,-0.012442548410722287,-0.059370324318391184,0.03448522749694661,US CPI SA,3M TBill SA
16,0.00835018742980218,-0.03617318100631985,0.05287355586592422,US CPI SA,3M TBill SA
17,0.009308306433614333,-0.030085278047831863,0.04870189091506053,US CPI SA,3M TBill SA
18,0.006807317078576999,-0.025753647980607926,0.039368282137761924,US CPI SA,3M TBill SA
19,0.0038583689548509267,-0.026284452954707355,0.034001190864409205,US CPI SA,3M TBill SA
20,0.0009374659884836605,-0.026963837068944573,0.028838769045911896,US CPI SA,3M TBill SA
0,1.0,1.0,1.0,US CPI SA,US CPI SA
1,-0.00295330326096746,-0.2631573797101613,0.2572507731882264,US CPI SA,US CPI SA
2,0.11555287129247324,-0.18037684004183765,0.41148258262678417,US CPI SA,US CPI SA
3,0.14177456390925525,-0.17679770025407837,0.46034682807258887,US CPI SA,US CPI SA
4,-0.43825109773056253,-0.7460285046890267,-0.13047369077209842,US CPI SA,US CPI SA
5,0.03508838202668029,-0.296758842555014,0.3669356066083746,US CPI SA,US CPI SA
6,-0.015275982480502354,-0.3387976707983039,0.30824570583729916,US CPI SA,US CPI SA
7,-0.24180358471048008,-0.5644194131441761,0.08081224372321594,US CPI SA,US CPI SA
8,0.1141492577464229,-0.19607757179290644,0.42437608728575227,US CPI SA,US CPI SA
9,-0.0648294384655441,-0.3731739588278067,0.24351508189671844,US CPI SA,US CPI SA
10,-0.04258944694192661,-0.34261185670028405,0.2574329628164308,US CPI SA,US CPI SA
